timestamp,scenario,source,approach,run_number,input_tokens,output_tokens,total_tokens,tool_calls,external_api_calls,duration_seconds,estimated_cost_usd,model
2026-03-08T06:14:20.483879+00:00,Elastic: Suspicious PowerShell,elastic,naive,2,31102,1826,32928,5,5,35.94691470799444,0.120696,claude-sonnet-4-20250514
2026-03-08T06:15:00.014222+00:00,Elastic: Suspicious PowerShell,elastic,naive,3,31100,2052,33152,5,5,39.528475875005824,0.12408,claude-sonnet-4-20250514
2026-03-08T06:15:38.803757+00:00,Elastic: Suspicious PowerShell,elastic,calseta,1,2989,970,3959,0,0,38.78743554200628,0.023517,claude-sonnet-4-20250514
2026-03-08T06:16:01.314507+00:00,Elastic: Suspicious PowerShell,elastic,calseta,2,2989,981,3970,0,0,22.5095133339928,0.023682,claude-sonnet-4-20250514
2026-03-08T06:16:23.572557+00:00,Elastic: Suspicious PowerShell,elastic,calseta,3,2989,981,3970,0,0,22.257498624996515,0.023682,claude-sonnet-4-20250514
2026-03-08T06:16:32.231565+00:00,Elastic: Suspicious PowerShell,elastic,naive,1,25694,835,26529,5,5,8.658378457999788,0.072585,aoai-dev-gpt-4o
2026-03-08T06:16:40.770603+00:00,Elastic: Suspicious PowerShell,elastic,naive,2,25693,975,26668,5,5,8.538456082998891,0.07398249999999999,aoai-dev-gpt-4o
2026-03-08T06:16:51.633316+00:00,Elastic: Suspicious PowerShell,elastic,naive,3,26034,1265,27299,5,5,10.862097541990806,0.077735,aoai-dev-gpt-4o
2026-03-08T06:16:58.404637+00:00,Elastic: Suspicious PowerShell,elastic,calseta,1,2615,807,3422,0,0,6.769533500002581,0.0146075,aoai-dev-gpt-4o
2026-03-08T06:17:04.937192+00:00,Elastic: Suspicious PowerShell,elastic,calseta,2,2615,822,3437,0,0,6.53197533400089,0.0147575,aoai-dev-gpt-4o
2026-03-08T06:17:11.242417+00:00,Elastic: Suspicious PowerShell,elastic,calseta,3,2615,845,3460,0,0,6.303797750006197,0.0149875,aoai-dev-gpt-4o
